                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.60064,                  0.564,                 1.0464,                0.66613,                0.51337,                0.54448,                0.39199,                 1.2625,                 1.7107,                 1.7263,             0.00073704,             0.00073704,             0.00073704
                    105,                0.59808,                0.55043,                 1.0497,                0.66619,                0.49123,                0.56365,                0.39247,                 1.3473,                  1.845,                 1.7859,             0.00073337,             0.00073337,             0.00073337
                    106,                0.59222,                0.53804,                 1.0326,                0.65642,                0.49843,                0.54497,                0.37827,                 1.3109,                  1.837,                 1.7423,              0.0007297,              0.0007297,              0.0007297
                    107,                 0.5928,                0.55167,                 1.0439,                0.62767,                0.49555,                0.48969,                0.35975,                 1.3033,                 1.8509,                 1.7304,             0.00072604,             0.00072604,             0.00072604
                    108,                0.59564,                0.56368,                 1.0406,                0.60321,                0.48665,                 0.5012,                0.35603,                 1.3248,                 1.8882,                  1.799,             0.00072237,             0.00072237,             0.00072237
                    109,                0.60092,                0.54476,                 1.0432,                0.59766,                0.52462,                0.51731,                0.37127,                 1.3147,                 1.6942,                 1.7762,             0.00071871,             0.00071871,             0.00071871
                    110,                0.59373,                0.55517,                 1.0401,                 0.6078,                0.48306,                0.50457,                0.37332,                 1.3071,                 1.8428,                 1.7586,             0.00071504,             0.00071504,             0.00071504
                    111,                0.58575,                0.55406,                 1.0366,                0.57588,                0.48716,                0.50756,                0.36833,                 1.2923,                 1.8678,                 1.7922,             0.00071137,             0.00071137,             0.00071137
                    112,                0.59447,                0.54046,                 1.0357,                0.64512,                0.46699,                0.50904,                0.37341,                 1.2979,                 1.9199,                 1.7439,             0.00070771,             0.00070771,             0.00070771
                    113,                0.58779,                0.52792,                 1.0375,                0.62758,                0.50559,                0.53281,                0.37098,                 1.3177,                 1.8887,                 1.7498,             0.00070404,             0.00070404,             0.00070404
                    114,                 0.5717,                0.52817,                 1.0208,                0.61489,                0.51873,                 0.5437,                0.38209,                 1.3099,                 1.8564,                 1.7019,             0.00070037,             0.00070037,             0.00070037
                    115,                0.57803,                0.51935,                 1.0264,                0.59184,                0.50862,                0.55033,                 0.3953,                  1.223,                 1.9464,                 1.6422,             0.00069671,             0.00069671,             0.00069671
                    116,                 0.5773,                0.52852,                 1.0257,                0.55205,                0.55024,                0.53717,                0.39888,                 1.2871,                 1.8011,                 1.7519,             0.00069304,             0.00069304,             0.00069304
                    117,                0.55955,                0.51478,                 1.0252,                0.50672,                0.53345,                0.50804,                0.36481,                 1.2596,                 2.0357,                  1.701,             0.00068938,             0.00068938,             0.00068938
                    118,                0.58539,                0.51475,                 1.0265,                0.65536,                0.43997,                0.49736,                0.36042,                 1.3127,                 1.9552,                 1.7614,             0.00068571,             0.00068571,             0.00068571
                    119,                0.57244,                0.52543,                 1.0264,                0.69167,                0.45238,                0.53474,                0.39175,                 1.2778,                  1.876,                 1.7494,             0.00068204,             0.00068204,             0.00068204
                    120,                0.56592,                0.53253,                 1.0252,                0.62978,                0.55572,                0.55104,                0.39194,                 1.2608,                 1.8362,                 1.6707,             0.00067838,             0.00067838,             0.00067838
                    121,                0.56212,                0.50815,                 1.0179,                0.64618,                0.47105,                0.54273,                0.39244,                 1.2706,                 1.8572,                   1.69,             0.00067471,             0.00067471,             0.00067471
                    122,                0.55938,                0.51186,                 1.0152,                 0.6551,                0.53275,                0.57193,                0.41288,                 1.2654,                 1.8207,                 1.6969,             0.00067104,             0.00067104,             0.00067104
                    123,                0.56378,                0.51261,                 1.0233,                0.63685,                 0.5048,                0.53955,                0.38146,                 1.2037,                  1.817,                 1.6443,             0.00066738,             0.00066738,             0.00066738
                    124,                0.54468,                0.49206,                 1.0197,                0.66185,                0.48916,                0.52224,                0.37141,                 1.2303,                 1.8742,                 1.6508,             0.00066371,             0.00066371,             0.00066371
                    125,                0.56758,                0.51865,                 1.0261,                0.67236,                0.45401,                0.48997,                0.34447,                 1.3265,                 1.9379,                 1.7895,             0.00066005,             0.00066005,             0.00066005
                    126,                0.56166,                0.50013,                 1.0234,                0.60725,                0.52044,                0.54488,                0.38201,                 1.2791,                 1.9281,                 1.7279,             0.00065638,             0.00065638,             0.00065638
